customer_id,name,signup_date,gender
1,Customer_1,1/1/22,M
2,Customer_2,1/2/22,F
3,Customer_3,1/3/22,F
4,Customer_4,1/4/22,M
5,Customer_5,1/5/22,F
6,Customer_6,1/6/22,F
7,Customer_7,1/7/22,F
8,Customer_8,1/8/22,F
9,Customer_9,1/9/22,F
10,Customer_10,1/10/22,F
11,Customer_11,1/11/22,F
12,Customer_12,1/12/22,M
13,Customer_13,1/13/22,M
14,Customer_14,1/14/22,F
15,Customer_15,1/15/22,M
16,Customer_16,1/16/22,M
17,Customer_17,1/17/22,M
18,Customer_18,1/18/22,M
19,Customer_19,1/19/22,M
20,Customer_20,1/20/22,F
21,Customer_21,1/21/22,M
22,Customer_22,1/22/22,F
23,Customer_23,1/23/22,F
24,Customer_24,1/24/22,M
25,Customer_25,1/25/22,M
26,Customer_26,1/26/22,F
27,Customer_27,1/27/22,F
28,Customer_28,1/28/22,F
29,Customer_29,1/29/22,F
30,Customer_30,1/30/22,M
31,Customer_31,1/31/22,F
32,Customer_32,2/1/22,M
33,Customer_33,2/2/22,F
34,Customer_34,2/3/22,M
35,Customer_35,2/4/22,F
36,Customer_36,2/5/22,F
37,Customer_37,2/6/22,M
38,Customer_38,2/7/22,F
39,Customer_39,2/8/22,F
40,Customer_40,2/9/22,M
41,Customer_41,2/10/22,M
42,Customer_42,2/11/22,F
43,Customer_43,2/12/22,M
44,Customer_44,2/13/22,F
45,Customer_45,2/14/22,F
46,Customer_46,2/15/22,F
47,Customer_47,2/16/22,F
48,Customer_48,2/17/22,F
49,Customer_49,2/18/22,M
50,Customer_50,2/19/22,F
51,Customer_51,2/20/22,M
52,Customer_52,2/21/22,F
53,Customer_53,2/22/22,F
54,Customer_54,2/23/22,F
55,Customer_55,2/24/22,F
56,Customer_56,2/25/22,M
57,Customer_57,2/26/22,F
58,Customer_58,2/27/22,M
59,Customer_59,2/28/22,M
60,Customer_60,3/1/22,F
61,Customer_61,3/2/22,F
62,Customer_62,3/3/22,M
63,Customer_63,3/4/22,F
64,Customer_64,3/5/22,M
65,Customer_65,3/6/22,F
66,Customer_66,3/7/22,M
67,Customer_67,3/8/22,M
68,Customer_68,3/9/22,M
69,Customer_69,3/10/22,M
70,Customer_70,3/11/22,M
71,Customer_71,3/12/22,F
72,Customer_72,3/13/22,F
73,Customer_73,3/14/22,M
74,Customer_74,3/15/22,M
75,Customer_75,3/16/22,M
76,Customer_76,3/17/22,F
77,Customer_77,3/18/22,F
78,Customer_78,3/19/22,M
79,Customer_79,3/20/22,F
80,Customer_80,3/21/22,M
81,Customer_81,3/22/22,M
82,Customer_82,3/23/22,F
83,Customer_83,3/24/22,M
84,Customer_84,3/25/22,F
85,Customer_85,3/26/22,F
86,Customer_86,3/27/22,F
87,Customer_87,3/28/22,F
88,Customer_88,3/29/22,F
89,Customer_89,3/30/22,F
90,Customer_90,3/31/22,M
91,Customer_91,4/1/22,F
92,Customer_92,4/2/22,F
93,Customer_93,4/3/22,M
94,Customer_94,4/4/22,M
95,Customer_95,4/5/22,F
96,Customer_96,4/6/22,M
97,Customer_97,4/7/22,M
98,Customer_98,4/8/22,F
99,Customer_99,4/9/22,F
100,Customer_100,4/10/22,M